,Customer_Name,Monetary,Frequency,Recency_Days
0,626 Commissary,512.83,6.0,5.0
1,And Destroy Coffee,2538.93,10.0,4.0
2,Awakening,1205.03,6.0,8.0
3,Awan- Melrose,1358.03,9.0,6.0
4,Awan- Saticoy,5244.15,10.0,4.0
5,Awan- Venice,1137.96,20.0,0.0
6,Awan- West Hollywood,843.88,8.0,6.0
7,Azizam,4794.31,41.0,7.0
8,Baba Small Batch,1425.0,1.0,12.0
9,Bacetti,3063.33,19.0,7.0
10,Baked Bar LA,7137.38,41.0,5.0
11,Bar Nine- El Segundo,1389.03,15.0,6.0
12,Bar Siesta,816.86,10.0,13.0
13,Bell's Los Alamos,1843.83,2.0,8.0
14,Belle's Bagels - Fair Oaks,2863.22,20.0,5.0
15,Belle's Bagels - York Blvd,6853.0,63.0,1.0
16,Best Grocery Wholesale,1731.9,7.0,6.0
17,Beth Jacob Congregation,2091.48,10.0,13.0
18,Bluey's Kitchen Santa Monica,7262.34,49.0,4.0
19,Bluey's Kitchen Venice,11503.29,108.0,1.0
20,"Bodega, Los Alamos",715.2,5.0,4.0
21,Bostan By Grandma,710.77,5.0,12.0
22,Botanica Restaurant & Market,3219.48,41.0,5.0
23,Bread and Butter Bakery,2433.08,14.0,4.0
24,Bread Head Manhattan Beach,7459.17,35.0,1.0
25,Bread Head Restaurant,9009.21,44.0,1.0
26,Bridgetown Roti,1397.94,15.0,5.0
27,BUB AND GRANDMA'S - RESTAURANT,12704.7,100.0,1.0
28,BUB AND GRANDMA'S - WHOLESALE BAKERY,3685.54,6.0,8.0
29,Bub And Grandma's Catering - Cypress,924.61,14.0,8.0
30,Bub and Grandma's Pizza,10110.0,0.0,0.0
31,Buena Vida Tea Bar,367.53,0.0,0.0
32,Bun & Mi,771.04,1.0,6.0
33,Burgers Never Say Die,5949.01,21.0,1.0
34,Cafe Tropical,4489.71,36.0,6.0
35,Calabasas Coffee House,2955.39,24.0,4.0
36,California Pita,3974.18,36.0,1.0
37,Campsite Brewing Co.,3009.47,21.0,8.0
38,Cannonball,3874.95,31.0,5.0
39,Canyon Coffee,6869.29,0.0,0.0
40,Carla Cafe Santa Monica,2953.75,15.0,5.0
41,Carla Cafe West 3rd,9769.24,65.0,4.0
42,Carmelized Productions,168.27,0.0,0.0
43,Ceci's Gastronomia,1247.33,1.0,12.0
44,Cento,1739.85,4.0,13.0
45,Chuy's Tacos Dorados,4338.54,27.0,7.0
46,Civil Coffee- Studio City,6192.53,42.0,7.0
47,CIVIL COFFEE - HIGHLAND PARK,8100.25,44.0,0.0
48,Civil Coffee DTLA,2438.06,26.0,6.0
49,Coffee Memes,729.17,0.0,0.0
50,Comet over Delphi,3896.37,23.0,8.0
51,Companion Venice,1609.86,12.0,13.0
52,Cookbook Larchmont,6164.04,33.0,5.0
53,Cookbook Market Echo Park,875.64,11.0,13.0
54,Cookbook Market Highland Park,3097.45,17.0,5.0
55,Couplet Coffee,646.18,15.0,8.0
56,Courage Bagels LLC,8205.54,36.0,1.0
57,Danbi,911.14,11.0,8.0
58,Daniel's Bagels,1292.01,11.0,4.0
59,Daybird,2881.0,30.0,8.0
60,Demitasse Santa Monica,3787.34,19.0,7.0
61,Desert's,852.59,9.0,5.0
62,Doubting Thomas,6664.13,43.0,1.0
63,Dunsmoor,6355.65,35.0,6.0
64,"Dura Sourcing, INC",418.0,1.0,12.0
65,El Chucho,1602.04,14.0,1.0
66,El Mirasol Cocina Mexicana,1854.01,32.0,14.0
67,Elat Supermarket,3720.93,7.0,4.0
68,Eliass Market,286.2,5.0,6.0
69,Elite Fish Market,465.55,5.0,7.0
70,Elite Fresh Fish Wholesale,1140.79,0.0,0.0
71,Escamex,6696.2,8.0,12.0
72,Everson Royce Bar,4218.18,16.0,8.0
73,F & I COHEN,11976.74,3.0,6.0
74,Factor's Famous Deli,12909.77,86.0,5.0
75,Farm Cup Coffee,3691.95,21.0,1.0
76,Fatty Mart,11462.35,45.0,1.0
77,Ferrazzani's Pasta & Market,3015.33,16.0,8.0
78,Finest City Paper,46732.29,125.0,4.0
79,Flame Persian Cuisine,2954.38,21.0,1.0
80,Fountain Grains & Greens,1668.54,19.0,4.0
81,Friends & Family Pizza Co,310.64,0.0,0.0
82,Friends & Family Silverlake,1057.08,11.0,5.0
83,Friends and Family Hollywood,3193.15,15.0,6.0
84,Fundamental Events Inglewood,14068.85,50.0,6.0
85,G&B Coffee - Grand Central Market,617.68,0.0,0.0
86,Game n Grounds,1735.54,8.0,8.0
87,General Sales Equipment,423.14,6.0,14.0
88,GGET-Highland Park,763.49,6.0,14.0
89,GGET Culver City,3517.26,37.0,1.0
90,GGET HQ,3792.07,11.0,5.0
91,GGET Larchmont,3396.17,37.0,5.0
92,GGET Los Feliz,3413.05,36.0,1.0
93,GGET Montana,4285.59,38.0,1.0
94,GGET ROW,1211.99,9.0,13.0
95,Gingergrass Silverlake,4655.66,35.0,5.0
96,Gjelina Take Away,1074.38,5.0,8.0
97,Gjusta Bakery Venice,2629.04,11.0,1.0
98,Gjusta Grocer,4705.63,13.0,5.0
99,Glatt Mart #1,14616.97,32.0,5.0
100,Glowing Juices,1369.08,12.0,1.0
101,Gnarwhal Coffee,2248.47,10.0,7.0
102,Goldburger Chinatown,3251.99,13.0,7.0
103,Goldburger Highland Park,2666.92,22.0,14.0
104,Goldburger Los Feliz,2885.34,18.0,8.0
105,Good Intentions Coffee,307.26,6.0,13.0
106,Good Neighbor Bar,2806.51,19.0,7.0
107,Great White- Parent Account,0.0,0.0,0.0
108,Great White Brentwood,9672.74,87.0,1.0
109,Great White Larchmont,10461.19,62.0,1.0
110,Great White Melrose,13700.62,76.0,1.0
111,Great White Studio City,8811.62,0.0,0.0
112,Great White Venice,16837.54,86.0,1.0
113,Happies Hand Made,1406.43,0.0,0.0
114,Hatchet Hall,10182.49,43.0,1.0
115,Highland Park Wine,524.47,0.0,0.0
116,Highlight Coffee Pasadena,1884.57,6.0,8.0
117,HiHo Cheeseburger,34596.56,43.0,1.0
118,Hippo Restaurant,4513.71,39.0,5.0
119,Holy Grounds St. Monica,1117.54,0.0,0.0
120,Homestate- Hollywood,7877.23,27.0,1.0
121,Homestate Atwater,5542.69,16.0,6.0
122,Homestate Commissary,10341.38,9.0,6.0
123,Homestate Culver City,3955.31,34.0,8.0
124,Homestate Highland Park,6996.67,35.0,1.0
125,Homestate Oceanside,3156.19,30.0,4.0
126,Homestate Pasadena,8001.65,31.0,1.0
127,Homestate Playa Vista,6109.14,35.0,1.0
128,Homestate Sherman Oaks,8009.85,65.0,1.0
129,Hoover Supply (Sales),2675.0,1.0,6.0
130,How's It Going To End?,2974.99,0.0,0.0
131,Immersion,2307.56,2.0,4.0
132,Javista Coffee West Hollywood,2905.14,21.0,6.0
133,JAVISTA Hollywood,4035.41,21.0,8.0
134,Jim Dandy,3537.7,23.0,7.0
135,Joint Seafood,1911.52,15.0,6.0
136,Jones Coffee Roasters,0.0,0.0,0.0
137,Mission St,2199.36,21.0,14.0
138,Raymond Street,1665.06,0.0,0.0
139,South Arroyo,1315.33,0.0,0.0
140,Jones Coffee Roasters - Other,44955.58,50.0,4.0
141,Total Jones Coffee Roasters,50135.33,0.0,0.0
142,Joy Highland Park,28264.62,127.0,1.0
143,Jugo Thousand Oaks,2640.12,0.0,0.0
144,Jyan Isaac Bread,22850.85,48.0,4.0
145,KEVIDKO Store Use,640.03,8.0,4.0
146,Kinrose Creamery,651.89,0.0,0.0
147,Kismet Restaurant,2887.25,23.0,6.0
148,"KosmaTex, Inc.",493.02,0.0,0.0
149,Kustaa Cheese and Wine,1184.03,16.0,5.0
150,La Sabrosa,2932.5,4.0,8.0
151,La Sorted's Chinatown,2968.11,10.0,6.0
152,LAMILL Anaheim,847.22,11.0,8.0
153,Lamill Roastery,3731.95,0.0,0.0
154,LAMILL Silverlake,3847.49,17.0,8.0
155,LAN Noodle,983.42,4.0,5.0
156,Larder Baking Co.,26446.33,49.0,5.0
157,LaSorteds Sunset,4303.18,29.0,8.0
158,Le Great Outdoor,3302.03,7.0,5.0
159,Legacy Wholesale Group,9413.0,0.0,0.0
160,Lighthouse Venice LLC,1932.19,16.0,1.0
161,Likeminded,963.95,8.0,14.0
162,Lingua Franca,241.54,11.0,5.0
163,Little Bear,1699.23,27.0,8.0
164,Little Fatty,5142.9,23.0,1.0
165,Little Fish Echo Park,2502.04,16.0,13.0
166,Liu's Cafe,2821.65,24.0,7.0
167,Livonia Glatt Market,2505.54,12.0,7.0
168,Lo/Cal Coffee & Market FAIRFAX,453.79,0.0,0.0
169,Lo/Cal Coffee & Market PICO,1185.95,21.0,7.0
170,Lutie,2787.97,16.0,14.0
171,Marlowe Coffee & Eatery,2286.86,8.0,0.0
172,Maru Coffee Hillhurst,2587.79,19.0,6.0
173,Maru Coffee N Canon,9441.82,50.0,1.0
174,Maru Coffee S Santa Fe,59317.78,33.0,0.0
175,Maury's,6564.3,49.0,1.0
176,MDD Supply,6590.5,0.0,0.0
177,Menotti's Coffee Stop,17987.27,64.0,1.0
178,Meteora,5610.59,25.0,7.0
179,Meymuni Cafe & Bazaar,4550.24,7.0,6.0
180,Molino,1361.48,0.0,0.0
181,Monroe Place,1333.09,10.0,1.0
182,Moo's Craft Barbecue,7523.42,44.0,5.0
183,Mustard's Bagels,715.79,20.0,5.0
184,Naan Hut,2587.31,14.0,1.0
185,Neighborhood Coffee Shop 3rd St,996.6,20.0,7.0
186,Neighborhood La Brea,2069.16,40.0,1.0
187,Nippon Cargo Airlines,1877.21,11.0,14.0
188,Noun,504.89,10.0,1.0
189,Organic Oren LLC,33814.93,53.0,5.0
190,Osteria La Buca - Melrose,3507.38,25.0,5.0
191,Osteria La Buca - Sherman Oaks,6572.49,56.0,1.0
192,Paisita Cafe,1608.18,6.0,5.0
193,Parakeet Bakery - Morena,7334.35,28.0,4.0
194,Parakeet Cafe - Beverly Hills,4345.86,15.0,8.0
195,Parakeet Cafe - Brentwood,2945.51,29.0,8.0
196,Parakeet Cafe - Carlsbad,6321.55,54.0,4.0
197,Parakeet Cafe - Cross Roots,4576.8,6.0,6.0
198,Parakeet Cafe - Del Mar,3888.04,22.0,13.0
199,Parakeet Cafe - La Jolla,4717.88,0.0,0.0
200,Parakeet Cafe - La Jolla Cove Hotel,2201.65,15.0,4.0
201,Parakeet Cafe - Little Italy,4769.91,44.0,4.0
202,Parakeet Cafe - Newport Beach,7067.88,47.0,7.0
203,Parakeet Cafe & Juicery - Coronado,12288.13,94.0,4.0
204,Parakeet Juicery - Del Mar,4868.9,39.0,4.0
205,Parakeet Juicery - La Jolla,4963.2,61.0,4.0
206,Pasta Sisters - Adams,2550.03,11.0,6.0
207,Pasta Sisters Costa Mesa,2276.64,14.0,4.0
208,Pasta Sisters Culver City,12961.44,51.0,7.0
209,Pasta Sisters Pico,5905.72,29.0,6.0
210,Perilla LA,3411.49,13.0,5.0
211,Pine & Crane DTLA,21165.28,122.0,1.0
212,Pine & Crane Silverlake,22024.8,130.0,1.0
213,Priedite Barbecue,1704.99,5.0,5.0
214,Princess Paper Inc,111.0,0.0,0.0
215,Proof Bakery,1272.59,4.0,7.0
216,Quarter Sheets LLC,5140.97,43.0,1.0
217,Rad Juice Bar,740.6,21.0,6.0
218,Rafie's Unlimited,2668.0,8.0,1.0
219,Revolution Roasters- Carlsbad,2736.88,39.0,1.0
220,Revolution Roasters- Oceanside,3612.6,42.0,4.0
221,Saavedras's,666.95,0.0,0.0
222,Saffy's,780.91,10.0,12.0
223,Sam's Place,1647.14,21.0,1.0
224,Santa Monica Kosher,6851.81,34.0,1.0
225,Sasabune Express,192.5,0.0,0.0
226,Shaherzad,6887.31,30.0,13.0
227,Si! Mon,302.28,0.0,0.0
228,Silverlake Wine,1910.32,9.0,5.0
229,Skaf's On York,3205.73,15.0,1.0
230,Skafs Lebanse Eatery,1634.58,38.0,4.0
231,Sobuneh,7257.31,36.0,4.0
232,Softies,2154.7,21.0,1.0
233,South Pas Smash,159.27,0.0,0.0
234,Spinwash Laundry,626.32,4.0,12.0
235,Square one Dining,897.71,14.0,6.0
236,Standing's Butchery,1316.28,11.0,13.0
237,Storm Burger,45030.93,51.0,0.0
238,Sua Superette Larchmont,2253.38,18.0,5.0
239,Sunnin,3823.38,9.0,1.0
240,Super Tochal,5110.45,24.0,7.0
241,SUSHIKO BAR INC,6918.24,30.0,6.0
242,Tabl Catering Inc,8131.51,4.0,1.0
243,Tail O' the Pup,2664.27,12.0,7.0
244,TAR & ROSES,1297.2,14.0,7.0
245,Tehran Market,17851.11,51.0,1.0
246,The Hermosillo,6384.45,74.0,1.0
247,The Stackz Co,4231.98,17.0,12.0
248,Thunder Road Cafe,140.62,2.0,14.0
249,Tiago Coffee Bar + Kitchen,7292.91,58.0,1.0
250,Tigres Fuego,333.3,0.0,0.0
251,Tomat,1331.46,15.0,1.0
252,Tortoni Caffe,900.35,10.0,1.0
253,Townhouse,2616.46,25.0,5.0
254,Townie Bagels,4416.74,26.0,4.0
255,Triple Beam Pizza Catering,1931.16,13.0,5.0
256,Triple Beam Pizza Commissary,4709.71,17.0,7.0
257,Triple Beam Pizza Echo Park,15985.97,87.0,1.0
258,Triple Beam Pizza Highland Park,19346.11,117.0,1.0
259,Triple Beam Pizza Santa Monica,8831.69,24.0,5.0
260,Unified Paper & Packaging Inc.,755.47,10.0,12.0
261,Unincorporated Coffee - Altadena,0.0,0.0,0.0
262,Unincorporated Coffee - Eagle Rock,5297.15,38.0,1.0
263,Unincorporated Coffee - Altadena - Other,2935.49,22.0,1.0
264,Total Unincorporated Coffee - Altadena,8232.64,0.0,0.0
265,Upper East Slice,1049.89,0.0,0.0
266,Varsity Bakers,362.8,0.0,0.0
267,Vernon Sales (Sales),3236.04,2.0,4.0
268,Vidal Produce #2,1909.45,0.0,0.0
269,Villas Tacos,379.49,0.0,0.0
270,Wake and Late 6th,5381.12,44.0,4.0
271,Wake and Late Pasadena,10060.28,58.0,4.0
272,Wake and Late Selma,6129.8,69.0,1.0
273,Wallflour Pizza,2041.55,16.0,0.0
274,Walts,252.21,0.0,0.0
275,Wax Paper Frogtown,2372.32,14.0,8.0
276,Webgility Shop KEVIDKO,235752.3,551.0,4.0
277,Wexler's Deli- Santa Monica,4381.31,34.0,6.0
278,Wild Crust,3633.74,26.0,1.0
279,Woon Number One LLC,27270.27,38.0,1.0
280,Woon Number Two,3373.69,53.0,1.0
281,YALA COFFEE COMPANY,2970.86,13.0,5.0
282,Yang's Kitchen,467.0,0.0,0.0
283,YC Meat Market,1340.09,0.0,0.0
284,Yellow Paper Burger,6131.69,27.0,1.0
285,Young Israel Congregation,2059.72,0.0,0.0
286,TOTAL,1695334.21,0.0,0.0
